Mã KH,Họ tên,Giới tính,Ngày sinh,Thành phố,Tỉnh/TP,Quận/Huyện,Số điện thoại,Email,Loại KH,Điểm tích lũy,Ngày đăng ký,Nhóm tuổi,Kênh ưu tiên
KH00001,Nguyễn Thị Ngân,Nữ,04/07/2005,Hải Phòng,Hải Phòng,Ngô Quyền,0341334425,nguyen.ngan1981@gmail.com,Thành viên,1928,08/01/2023,18-24,POS
KH00002,Nguyễn Thùy Hạnh,Nữ,02/02/1994,Khánh Hòa,Khánh Hòa,Nha Trang,0399398909,hanh.nguyen909@gmail.com,Khách lẻ,1117,26/04/2025,25-34,POS
KH00003,Lê Hoàng Khang,Nam,16/03/1988,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0838591367,khang1983@outlook.com,Thành viên,3664,10/07/2025,35-44,Online
KH00004,Huỳnh Thị Mai,Nữ,13/03/2005,Nghệ An,Nghệ An,Cửa Lò,0989475547,huynhthimai1984@yahoo.com,Khách lẻ,430,09/10/2023,18-24,POS
KH00005,Phạm Khánh Loan,Nữ,12/01/1981,Thừa Thiên Huế,Thừa Thiên Huế,Hương Thủy,0705941309,loan309@gmail.com,Thành viên,1384,01/05/2025,45-54,POS
KH00006,Trần Nhật Huy,Nam,15/09/1986,Hà Nội,Hà Nội,Ba Đình,0398076108,huy108@outlook.com,VIP,17182,18/06/2023,35-44,POS
KH00007,Nguyễn Hồng Loan,Nữ,27/08/1987,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0815416264,loan1987@gmail.com,Khách lẻ,779,15/12/2023,35-44,Online
KH00008,Bùi Thu Giang,Nữ,01/09/1985,Nghệ An,Nghệ An,Diễn Châu,0924936507,buithugiang507@icloud.com,Khách lẻ,1718,27/09/2024,35-44,Online
KH00009,Trần Quang Cường,Nam,17/02/1992,Cần Thơ,Cần Thơ,Ninh Kiều,0394620859,cuong859@gmail.com,Thành viên,4968,20/12/2023,25-34,POS
KH00010,Trần Mai Thảo,Nữ,03/05/1991,Thừa Thiên Huế,Thừa Thiên Huế,Huế,0886571033,thao.tran033@icloud.com,Khách lẻ,91,17/04/2023,35-44,Marketplace
KH00011,Nguyễn Hoàng Phúc,Nam,12/08/1987,Hà Nội,Hà Nội,Cầu Giấy,0781142519,nguyenhoangphuc1991@gmail.com,Thành viên,1420,16/08/2023,35-44,Online
KH00012,Phạm Thùy Hương,Nữ,05/02/2001,Cần Thơ,Cần Thơ,Bình Thủy,0796680195,huong.pham195@gmail.com,Thành viên,2148,22/10/2024,25-34,POS
