Mã NCC,Tên NCC,Quốc gia,Điều khoản TT (ngày),Số điện thoại,Email,Người liên hệ,Thành phố
NCC001,Công ty TNHH Apple Việt Nam,Việt Nam,30,0984655173,nguyenhaianh@apple.vn,Nguyễn Hải Anh,Hà Nội
NCC002,Công ty TNHH Samsung Electronics Việt Nam,Việt Nam,60,0771726029,tranminhduc@samsung.com,Trần Minh Đức,TP. Hồ Chí Minh
NCC003,Công ty TNHH Xiaomi Việt Nam,Việt Nam,60,0787828065,lethuyduong@mi.com,Lê Thùy Dương,Hà Nội
NCC004,Công ty TNHH Digiworld,Việt Nam,15,0701167024,phamquanghuy@digiworld.com.vn,Phạm Quang Huy,Hà Nội
NCC005,Công ty Cổ phần Thế Giới Số,Việt Nam,15,0916601034,hoangkhanhlinh@dgw.com.vn,Hoàng Khánh Linh,TP. Hồ Chí Minh
NCC006,Công ty TNHH Synnex FPT,Việt Nam,60,0889209683,buigiabao@synnexfpt.com,Bùi Gia Bảo,Bình Dương
NCC007,Công ty TNHH ASUS Việt Nam,Việt Nam,30,0963115034,vungocmai@asus.com,Vũ Ngọc Mai,Đà Nẵng
NCC008,Công ty TNHH Sony Electronics Việt Nam,Việt Nam,60,0837957209,dangquocviet@sony.com.vn,Đặng Quốc Việt,Bình Dương
NCC009,Công ty TNHH Logitech Việt Nam,Thụy Sĩ,60,0915651142,nguyenhaianh@logitech.com,Nguyễn Hải Anh,TP. Hồ Chí Minh
NCC010,Công ty TNHH Anker Innovations,Trung Quốc,45,0842749050,tranminhduc@anker.com,Trần Minh Đức,TP. Hồ Chí Minh
