MaKH,HoTen,GioiTinh,NgaySinh,DienThoai,Email,ThanhPho,LoaiKH,DiemTichLuy,NgayDangKy
KH001,Đỗ Thị Linh,U,1995-11-10,0964136021,kh1@email.com,Đà Nẵng,Doanh nghiệp,4601018,2022-05-04
KH002,Lê Thanh Vân,M,1984-05-18,0989617807,kh2@email.com,Cần Thơ,VIP,932727,2020-12-13
KH003,Ngô Phương Quang,M,1989-08-16,0955869026,kh3@email.com,Hue,Lẻ,3568835,2024-05-26
KH004,Huỳnh Phương Sơn,U,1983-06-01,0916208009,kh4@email.com,Vinh,Lẻ,4383291,2022-12-01
KH005,Dương Hoàng Đức,F,2002-05-11,0935043996,kh5@email.com,Hue,Lẻ,1026667,2020-07-17
KH006,Huỳnh Hoàng Hương,M,1997-03-11,0994017972,kh6@email.com,Buôn Ma Thuột,Doanh nghiệp,135155,2024-09-08
KH007,Hoàng Văn Việt,M,1982-06-11,0962965400,kh7@email.com,Vinh,Lẻ,4019830,2024-12-06
KH008,Dương Thanh Khoa,F,2001-08-17,0954069181,kh8@email.com,Hải Phòng,Lẻ,1008017,2021-09-25
KH009,Lê Đức Sơn,M,1984-08-27,0985504798,kh9@email.com,Buôn Ma Thuột,Doanh nghiệp,3718239,2025-09-16
KH010,Hồ Hoàng Thơ,M,2003-01-10,0983661567,kh10@email.com,Cần Thơ,Lẻ,4360597,2024-09-28
KH011,Lý Lan Khoa,M,1986-01-07,0973388337,kh11@email.com,Hà Nội,Lẻ,202352,2023-06-01
KH012,Hoàng Hữu An,F,1986-02-07,0969285361,kh12@email.com,TP.HCM,Lẻ,1274555,2025-03-19
KH013,Lê Lan Yến,F,1985-10-12,0953215708,kh13@email.com,Đà Nẵng,VIP,3962562,2024-05-27
KH014,Phạm Lan Bình,U,1997-08-02,0922394592,kh14@email.com,Buôn Ma Thuột,VIP,57267,2024-11-17
KH015,Dương Văn Sơn,F,1999-09-21,0948679004,kh15@email.com,Đà Nẵng,Lẻ,4187167,2022-02-28
KH016,Bùi Lan Sơn,F,1976-01-17,0935817739,kh16@email.com,Vinh,Lẻ,1289100,2021-12-18
KH017,Đặng Đức Linh,U,2001-06-11,0934854380,kh17@email.com,Đà Nẵng,VIP,4053419,2023-02-07
KH018,Trần Lan Nam,U,1985-03-15,0984545345,kh18@email.com,Đà Nẵng,Doanh nghiệp,3934560,2021-06-27
KH019,Phạm Hữu Nga,U,1991-05-14,0989031998,kh19@email.com,Cần Thơ,Lẻ,2306147,2021-01-14
KH020,Ngô Văn Hương,F,1991-12-18,0952772051,kh20@email.com,Hải Phòng,Lẻ,1188593,2022-01-09
KH021,Bùi Hoàng Vân,M,1980-02-18,0997932586,kh21@email.com,Cần Thơ,Lẻ,3445281,2024-06-04
KH022,Lê Phương Lan,U,2002-04-12,0962482154,kh22@email.com,Nha Trang,Lẻ,2934719,2021-05-01
KH023,Trần Thị Trung,M,2005-12-17,0905151696,kh23@email.com,TP.HCM,VIP,1868600,2021-04-02
KH024,Ngô Thị Nga,U,2001-06-11,0976745384,kh24@email.com,Cần Thơ,Lẻ,2808038,2022-06-10
KH025,Vũ Thị Trang,U,2000-02-06,0924972291,kh25@email.com,Hải Phòng,Lẻ,2876723,2022-12-16
KH026,Vũ Thu Thắng,M,1975-03-18,0918964172,kh26@email.com,Buôn Ma Thuột,Doanh nghiệp,2513103,2020-07-15
KH027,Đỗ Lan Hương,F,1999-12-06,0989480918,kh27@email.com,Đà Nẵng,Lẻ,1607677,2021-03-03
KH028,Dương Văn Lan,M,1983-10-09,0901739701,kh28@email.com,Hà Nội,Lẻ,4150085,2021-02-13
KH029,Lê Thanh Thắng,F,1998-12-07,0941527002,kh29@email.com,Vinh,VIP,293367,2024-08-27
KH030,Bùi Minh Quang,U,2001-08-25,0977263184,kh30@email.com,Hải Phòng,Lẻ,4531011,2022-06-10
