MaNV,HoTen,PhongBan,ChucVu,MaCH,NgayVaoLam
NV001,Đỗ Việt,Kỹ thuật,Nhân viên bán hàng,CH002,2019-06-08
NV002,Bùi Anh,Marketing,Nhân viên bán hàng,CH001,2022-07-16
NV003,Huỳnh Lan,Kế toán,Kỹ thuật viên,CH004,2021-12-09
NV004,Lê Bình,Kế toán,Nhân viên bán hàng,CH005,2022-12-17
NV005,Phạm Anh,Marketing,Kỹ thuật viên,CH005,2025-01-07
NV006,Đặng Nam,Marketing,Nhân viên bán hàng,CH004,2021-11-12
NV007,Nguyễn Hương,Kinh doanh,Kỹ thuật viên,CH001,2020-04-03
NV008,Đỗ Cường,Marketing,Nhân viên bán hàng,CH005,2022-09-26
NV009,Lê Minh,Kế toán,Nhân viên bán hàng,CH001,2019-05-09
NV010,Trần Nam,Kế toán,Nhân viên bán hàng,CH003,2022-12-06
NV011,Đặng Khoa,Marketing,Nhân viên bán hàng,CH001,2025-09-12
NV012,Huỳnh Oanh,Kỹ thuật,Nhân viên bán hàng,CH005,2019-10-20
NV013,Trần Trung,Kỹ thuật,Kỹ thuật viên,CH002,2025-06-17
NV014,Lê Phương,Kỹ thuật,Nhân viên bán hàng,CH005,2022-01-13
NV015,Bùi Khoa,Kế toán,Nhân viên bán hàng,CH004,2025-12-04
NV016,Vũ Việt,Kỹ thuật,Kỹ thuật viên,CH003,2025-07-08
NV017,Huỳnh Nam,Kỹ thuật,Kỹ thuật viên,CH001,2025-08-14
NV018,Vũ Sơn,Marketing,Nhân viên bán hàng,CH005,2023-09-24
NV019,Hoàng Sơn,Marketing,Nhân viên bán hàng,CH002,2019-02-23
NV020,Nguyễn Thắng,Kinh doanh,Nhân viên bán hàng,CH002,2024-12-12
